clk,period,time
1,1000,326107
2,492,166607
3,300,102806
1,999,327106
2,507,167114
3,317,103124
1,1000,328107
2,492,167607
3,282,103406
1,1000,329107
2,507,168114
3,301,103708
1,999,330107
2,492,168607
3,298,104006
1,999,331107
2,507,169114
3,300,104306
1,999,332106
2,492,169606
3,309,104616
1,1000,333107
2,507,170114
3,290,104906
1,1000,334107
2,492,170607
3,301,105208
1,999,335106
2,507,171114
3,298,105506
1,1000,336107
2,492,171607
3,300,105807
1,999,337106
2,507,172114
3,317,106124
1,1000,338106
2,492,172607
3,282,106406
1,1000,339107
2,507,173114
3,301,106708
1,1000,340107
2,492,173606
3,298,107006
1,999,341106
2,507,174114
3,300,107306
1,1000,342107
2,492,174607
3,309,107616
1,999,343107
2,507,175114
3,290,107906
1,999,344106
2,492,175607
3,301,108208
1,1000,345107
2,507,176114
3,298,108506
1,1000,346107
2,492,176607
3,300,108807
1,999,347107
2,507,177114
3,316,109124
1,999,348106
2,492,177607
3,282,109406
1,1000,349107
2,507,178114
3,301,109708
1,1000,350107
2,492,178607
3,298,110006
1,999,351107
2,507,179114
3,299,110306
1,999,352106
2,492,179607
3,309,110616
1,1000,353107
2,507,180114
3,290,110906
1,1000,354107
2,492,180607
3,301,111208
1,1000,355107
2,507,181114
3,298,111506
1,1000,356107
2,492,181607
3,300,111806
1,999,357107
2,507,182114
3,317,112124
1,999,358106
2,492,182607
3,282,112406
1,1000,359107
2,507,183114
3,301,112708
1,999,360106
2,492,183607
3,298,113006
1,1000,361107
2,507,184114
3,300,113306
1,999,362106
2,492,184607
3,309,113616
1,1000,363107
2,507,185114
3,290,113906
1,999,364107
2,492,185606
3,301,114208
1,1000,365107
2,507,186114
3,298,114506
1,1000,366107
2,492,186607
3,300,114806
1,999,367107
2,507,187114
3,317,115124
1,999,368106
2,492,187607
3,282,115406
1,1000,369107
2,507,188114
3,301,115708
1,999,370107
2,492,188607
3,298,116006
1,999,371106
2,507,189114
3,300,116306
1,1000,372107
2,492,189606
3,309,116616
1,1000,373107
