clk,time
2,16191
2,5407
2,964
1,17781
2,11405
3,33624
2,10536
1,21152
2,5926
1,6366
2,11508
2,5261
3,33481
1,17195
2,12063
2,3319
1,10657
2,1857
3,14946
2,3639
1,7315
2,477
2,1634
2,1408
3,9631
1,7402
2,4973
2,7778
1,14118
2,8412
1,8367
3,28031
2,12551
2,4235
1,16649
2,8798
2,1083
3,1992
1,7988
2,4375
2,1039
1,4883
2,2249
2,686
3,8138
2,3022
1,4886
2,1709
2,1838
3,5507
1,4589
2,2934
1,1682
2,1685
2,1376
1,3926
2,1555
3,8541
2,2674
1,3279
2,2158
2,1315
3,6659
1,5615
2,4285
2,781
2,1171
1,5643
2,2485
3,7597
2,249
1,3853
2,2483
1,2482
2,2577
2,63
3,8679
1,551
2,4226
2,5083
1,9166
2,5784
3,14034
2,4412
1,10243
2,441
2,3024
2,2801
3,17367
1,14381
2,9176
2,2514
1,6131
2,2897
1,2844
3,1454
2,5068
2,1465
1,6393
2,4958
2,4978
3,19146
1,15754
2,13422
2,8295
1,1932
2,8844
2,4801
3,34413
2,8664
1,22265
2,9329
2,3618
3,21243
1,14229
2,11023
1,6965
2,6032
2,42
1,12377
2,5901
3,27112
2,5994
1,11974
2,6509
2,4328
3,17531
1,14181
2,10196
2,2824
2,1555
1,11937
2,7548
3,2222
2,7552
1,12031
2,4385
1,7542
2,6642
2,4859
3,20077
1,10799
2,75
2,577
1,11985
2,6718
3,2142
2,6735
1,13502
2,6724
2,3103
2,2874
3,19382
1,16327
2,10962
2,3723
1,11953
2,815
1,8115
3,27502
2,11923
2,4346
1,16118
2,8531
2,1083
3,19868
1,8095
2,4377
2,8989
1,16014
2,9066
2,4895
3,3038
2,889
1,22811
2,9541
2,2557
3,17659
1,10501
2,507
1,326
2,4434
2,1342
1,5597
2,2513
3,15102
2,4999
1,7591
2,3126
2,3281
3,8651
1,7469
2,4445
2,2205
2,1948
1,6576
2,2409
3,12843
2,3104
1,735
2,4161
1,4146
2,424
2,34
3,12698
1,6427
2,6661
2,4767
1,7681
2,3076
3,1433
2,7241
1,10363
2,4684
2,2947
2,178
3,1593
1,13022
2,10518
2,4123
1,12471
2,5266
1,5235
3,22715
2,8494
2,3305
1,11659
2,5654
2,4703
3,20851
1,17035
2,15137
2,4557
1,14907
2,10207
2,5233
3,30734
2,5963
1,21351
2,1068
2,1154
3,18624
1,9096
2,2828
1,2252
2,2257
2,1656
1,2715
2,2116
3,7794
2,1192
1,4414
2,2727
2,1745
3,7347
1,5898
2,5311
2,941
2,928
1,6702
2,3356
3,9145
2,3077
1,477
2,3086
1,3076
2,3165
2,798
3,11707
1,6028
2,5797
2,3698
1,8748
2,4413
3,11613
2,235
1,6803
2,4405
2,2341
2,2117
3,1325
1,10958
2,712
2,6192
1,15834
2,8893
1,8838
3,29096
2,1561
2,212
1,17595
2,9265
2,1086
3,20601
1,587
2,437
2,1038
1,4882
2,2256
2,689
3,8135
2,3013
1,489
2,1708
2,1081
3,6065
1,4408
2,3778
1,2254
2,1238
2,1657
1,2709
2,212
3,7711
2,2206
1,4407
2,1702
2,2206
3,6647
1,7127
2,4923
2,1257
2,2591
1,6091
2,2247
3,1111
2,3176
1,5516
2,3859
1,3851
2,2329
2,2734
3,11917
1,6897
2,4732
2,104
1,4347
2,2212
3,8611
2,2199
1,3431
2,221
2,732
2,1453
3,5527
1,5865
2,3277
2,1735
1,5311
2,304
1,2989
3,12089
2,6205
2,726
1,5895
2,4159
2,1077
3,9162
1,6032
2,431
2,6474
1,11394
2,9576
2,2771
